Fecha;"Inflación núcleo 15 anual";"Inflación sin alimentos ni regulados, anual";"Inflación sin alimentos, anual"
31/01/1999;16,47;14,87;17,09
28/02/1999;15,35;13,86;15,16
31/03/1999;13,92;13,39;14,40
30/04/1999;12,98;12,68;13,99
31/05/1999;12,12;11,64;13,29
30/06/1999;11,46;10,99;12,93
31/07/1999;10,69;10,21;12,44
31/08/1999;10,38;9,83;12,17
30/09/1999;9,64;9,24;11,37
31/10/1999;9,13;8,85;10,73
30/11/1999;8,98;8,65;10,51
31/12/1999;8,45;8,16;9,72
31/01/2000;7,52;7,60;8,96
29/02/2000;7,43;7,92;9,31
31/03/2000;7,67;7,99;9,63
30/04/2000;7,40;7,47;9,30
31/05/2000;7,66;7,68;9,36
30/06/2000;7,76;7,47;9,10
31/07/2000;7,93;7,43;9,09
31/08/2000;7,75;7,30;9,05
30/09/2000;7,93;7,52;9,16
31/10/2000;7,68;7,25;8,85
30/11/2000;7,67;7,04;8,77
31/12/2000;7,93;7,32;8,92
31/01/2001;7,67;6,99;8,61
28/02/2001;7,34;6,45;8,04
31/03/2001;7,37;6,03;7,90
30/04/2001;8,02;6,32;7,96
31/05/2001;8,04;6,01;7,56
30/06/2001;7,96;6,07;7,58
31/07/2001;7,87;5,95;7,32
31/08/2001;7,78;5,83;7,08
30/09/2001;7,74;5,58;6,88
31/10/2001;7,73;5,62;6,94
30/11/2001;7,47;5,63;6,80
31/12/2001;7,26;5,27;6,48
31/01/2002;7,23;5,31;6,38
28/02/2002;7,01;5,01;6,02
31/03/2002;6,34;4,85;5,41
30/04/2002;5,70;4,69;5,22
31/05/2002;5,51;4,67;5,14
30/06/2002;5,48;4,61;5,08
31/07/2002;5,35;4,62;5,06
31/08/2002;5,27;4,58;5,02
30/09/2002;5,10;4,54;4,93
31/10/2002;5,24;4,67;5,01
30/11/2002;5,64;4,90;5,27
31/12/2002;5,68;5,01;5,42
31/01/2003;6,09;5,36;6,07
28/02/2003;6,10;5,65;6,38
31/03/2003;6,25;5,83;6,67
30/04/2003;6,29;5,76;6,65
31/05/2003;6,33;5,83;6,82
30/06/2003;6,42;6,00;6,94
31/07/2003;6,37;5,91;6,86
31/08/2003;6,66;6,08;7,16
30/09/2003;6,90;6,15;7,36
31/10/2003;6,81;5,93;7,19
30/11/2003;6,51;5,68;6,96
31/12/2003;6,53;5,71;6,98
31/01/2004;6,16;5,40;6,50
29/02/2004;5,93;5,23;6,24
31/03/2004;5,83;5,05;6,04
30/04/2004;5,59;4,95;5,79
31/05/2004;5,51;4,79;5,67
30/06/2004;5,65;4,78;5,85
31/07/2004;5,86;4,86;5,98
31/08/2004;5,67;4,75;5,56
30/09/2004;5,52;4,72;5,40
31/10/2004;5,39;4,61;5,30
30/11/2004;5,39;4,60;5,40
31/12/2004;5,46;4,60;5,48
31/01/2005;5,46;4,36;5,37
28/02/2005;5,41;4,15;5,17
31/03/2005;5,15;3,92;4,83
30/04/2005;4,93;3,78;4,71
31/05/2005;4,84;3,79;4,66
30/06/2005;4,60;3,66;4,38
31/07/2005;4,45;3,60;4,29
31/08/2005;4,26;3,55;4,41
30/09/2005;4,25;3,64;4,50
31/10/2005;4,20;3,77;4,57
30/11/2005;4,11;3,80;4,46
31/12/2005;3,87;3,71;4,23
31/01/2006;3,53;3,63;3,99
28/02/2006;3,37;3,65;3,77
31/03/2006;3,39;3,63;3,74
30/04/2006;3,40;3,55;3,65
31/05/2006;3,38;3,61;3,65
30/06/2006;3,42;3,69;3,71
31/07/2006;3,60;3,73;3,91
31/08/2006;3,88;3,79;4,11
30/09/2006;3,93;3,70;4,07
