Fecha,1. PIB reportado,1.01. Valor agregado bruto,"1.01.01. Agricultura, ganadería, caza, silvicultura y pesca",1.01.02. Explotación de minas y canteras,1.01.03. Industrias manufactureras,"1.01.04. Suministro de electricidad, gas, vapor y
aire acondicionado (*)",1.01.05. Construcción,"1.01.06. Comercio al por mayor y al por menor
(*)",1.01.07. Información y comunicaciones,1.01.08. Actividades financieras y de seguros,1.01.09. Actividades inmobiliarias,"1.01.10. Actividades profesionales, científicas y
técnicas (*)","1.01.11. Administración pública, defensa,
educación y salud (*)","1.01.12. Actividades artísticas, de
entretenimiento y recreación y otras actividades
de servicios (*)","1.02. Impuestos menos subvenciones sobre los
productos"," 
Los valores ausentes se indican con un punto (.)
Descargado del sistema del Banco de la República: 08/08/2025  6:22:02 PM"
2005-01-31,"81365,11","74313,27","6245,39","5243,6","13171,95","2884,3","3862,2","13182,33","2885,19","2736,76","7935,57","3991,59","10566,11","1948,92","7088,06",
2005-02-28,"81365,11","74313,27","6245,39","5243,6","13171,95","2884,3","3862,2","13182,33","2885,19","2736,76","7935,57","3991,59","10566,11","1948,92","7088,06",
2005-03-31,"81365,11","74313,27","6245,39","5243,6","13171,95","2884,3","3862,2","13182,33","2885,19","2736,76","7935,57","3991,59","10566,11","1948,92","7088,06",
2005-04-30,"84193,31","76491,49","6452,19","5471,32","13570,64","2992,26","3328,72","13728,67","3032,59","2937,55","8050,53","4109,76","10792,54","1983,6","7677,7",
2005-05-31,"84193,31","76491,49","6452,19","5471,32","13570,64","2992,26","3328,72","13728,67","3032,59","2937,55","8050,53","4109,76","10792,54","1983,6","7677,7",
2005-06-30,"84193,31","76491,49","6452,19","5471,32","13570,64","2992,26","3328,72","13728,67","3032,59","2937,55","8050,53","4109,76","10792,54","1983,6","7677,7",
2005-07-31,"85000,64","77334,04","6286,31","5564,09","13647,56","3067,55","3360,86","13846,77","2923,71","3117,2","8192,41","4216,68","10919,18","2046,73","7690,92",
2005-08-31,"85000,64","77334,04","6286,31","5564,09","13647,56","3067,55","3360,86","13846,77","2923,71","3117,2","8192,41","4216,68","10919,18","2046,73","7690,92",
2005-09-30,"85000,64","77334,04","6286,31","5564,09","13647,56","3067,55","3360,86","13846,77","2923,71","3117,2","8192,41","4216,68","10919,18","2046,73","7690,92",
2005-10-31,"87407,8","79566,41","6453,92","5792,51","13719,12","3096,6","3865,67","14159,22","3431,5","3054,72","8371,99","4366,48","11069,99","2094,68","7804,32",
2005-11-30,"87407,8","79566,41","6453,92","5792,51","13719,12","3096,6","3865,67","14159,22","3431,5","3054,72","8371,99","4366,48","11069,99","2094,68","7804,32",
2005-12-31,"87407,8","79566,41","6453,92","5792,51","13719,12","3096,6","3865,67","14159,22","3431,5","3054,72","8371,99","4366,48","11069,99","2094,68","7804,32",
2006-01-31,"90065,27","81885,27","6489,24","6149,08","13951,55","3148,4","4199,99","14542,88","3456,09","3108,14","8698,67","4553,17","11466,1","2131,75","8162,25",
2006-02-28,"90065,27","81885,27","6489,24","6149,08","13951,55","3148,4","4199,99","14542,88","3456,09","3108,14","8698,67","4553,17","11466,1","2131,75","8162,25",
2006-03-31,"90065,27","81885,27","6489,24","6149,08","13951,55","3148,4","4199,99","14542,88","3456,09","3108,14","8698,67","4553,17","11466,1","2131,75","8162,25",
2006-04-30,"93481,5","84868,44","6753,93","6717,84","14975,03","3221,49","3960,77","15216,13","3609,7","3080,26","8884,52","4769,61","11675,69","2201,88","8591,45",
2006-05-31,"93481,5","84868,44","6753,93","6717,84","14975,03","3221,49","3960,77","15216,13","3609,7","3080,26","8884,52","4769,61","11675,69","2201,88","8591,45",
2006-06-30,"93481,5","84868,44","6753,93","6717,84","14975,03","3221,49","3960,77","15216,13","3609,7","3080,26","8884,52","4769,61","11675,69","2201,88","8591,45",
2006-07-31,"97670,92","88488,83","6997,87","6819,22","15866,01","3390,9","4383,05","16023,54","3414,75","3113,85","9069,74","4962,98","12026,8","2255,46","9179,07",
2006-08-31,"97670,92","88488,83","6997,87","6819,22","15866,01","3390,9","4383,05","16023,54","3414,75","3113,85","9069,74","4962,98","12026,8","2255,46","9179,07",
2006-09-30,"97670,92","88488,83","6997,87","6819,22","15866,01","3390,9","4383,05","16023,54","3414,75","3113,85","9069,74","4962,98","12026,8","2255,46","9179,07",
2006-10-31,"100386,32","90532,46","7183,96","6440,86","16182,42","3529,21","5031,19","16369,46","3525,46","3177,75","9268,07","5158,24","12357,4","2264,91","9896,23",
2006-11-30,"100386,32","90532,46","7183,96","6440,86","16182,42","3529,21","5031,19","16369,46","3525,46","3177,75","9268,07","5158,24","12357,4","2264,91","9896,23",
2006-12-31,"100386,32","90532,46","7183,96","6440,86","16182,42","3529,21","5031,19","16369,46","3525,46","3177,75","9268,07","5158,24","12357,4","2264,91","9896,23",
2007-01-31,"103624,5","93519,73","7226,84","6480,03","16709,76","3639,37","5091,77","17292,44","3759,67","3431,4","9463,14","5398,88","12617,49","2387,0","10008,36",
2007-02-28,"103624,5","93519,73","7226,84","6480,03","16709,76","3639,37","5091,77","17292,44","3759,67","3431,4","9463,14","5398,88","12617,49","2387,0","10008,36",
2007-03-31,"103624,5","93519,73","7226,84","6480,03","16709,76","3639,37","5091,77","17292,44","3759,67","3431,4","9463,14","5398,88","12617,49","2387,0","10008,36",
2007-04-30,"104599,44","94506,87","7284,92","5685,98","17050,98","3658,43","5031,2","17730,72","3851,41","3762,29","9674,44","5630,5","12874,45","2451,92","10171,98",
2007-05-31,"104599,44","94506,87","7284,92","5685,98","17050,98","3658,43","5031,2","17730,72","3851,41","3762,29","9674,44","5630,5","12874,45","2451,92","10171,98",
2007-06-30,"104599,44","94506,87","7284,92","5685,98","17050,98","3658,43","5031,2","17730,72","3851,41","3762,29","9674,44","5630,5","12874,45","2451,92","10171,98",
2007-07-31,"108325,82","98030,48","7517,14","6598,88","17386,51","3675,84","5109,99","18074,41","4187,65","3662,22","9871,78","5904,88","13390,05","2515,22","10301,48",
2007-08-31,"108325,82","98030,48","7517,14","6598,88","17386,51","3675,84","5109,99","18074,41","4187,65","3662,22","9871,78","5904,88","13390,05","2515,22","10301,48",
2007-09-30,"108325,82","98030,48","7517,14","6598,88","17386,51","3675,84","5109,99","18074,41","4187,65","3662,22","9871,78","5904,88","13390,05","2515,22","10301,48",
2007-10-31,"111956,23","101605,92","7686,1","7678,12","18074,75","3783,35","5378,04","18294,42","4126,26","4038,09","10046,64","6133,74","13742,0","2601,86","10361,18",
2007-11-30,"111956,23","101605,92","7686,1","7678,12","18074,75","3783,35","5378,04","18294,42","4126,26","4038,09","10046,64","6133,74","13742,0","2601,86","10361,18",
2007-12-31,"111956,23","101605,92","7686,1","7678,12","18074,75","3783,35","5378,04","18294,42","4126,26","4038,09","10046,64","6133,74","13742,0","2601,86","10361,18",
2008-01-31,"115330,14","104541,32","7880,43","8915,01","18317,64","3613,81","5855,82","18405,68","4123,92","4281,77","10231,9","6307,07","13957,7","2667,88","10712,18",
2008-02-29,"115330,14","104541,32","7880,43","8915,01","18317,64","3613,81","5855,82","18405,68","4123,92","4281,77","10231,9","6307,07","13957,7","2667,88","10712,18",
2008-03-31,"115330,14","104541,32","7880,43","8915,01","18317,64","3613,81","5855,82","18405,68","4123,92","4281,77","10231,9","6307,07","13957,7","2667,88","10712,18",
2008-04-30,"117086,7","106298,14","7676,13","9040,66","18083,72","4062,36","6314,72","18698,81","4193,8","4327,8","10441,84","6444,88","14235,08","2721,08","10793,42",
2008-05-31,"117086,7","106298,14","7676,13","9040,66","18083,72","4062,36","6314,72","18698,81","4193,8","4327,8","10441,84","6444,88","14235,08","2721,08","10793,42",
2008-06-30,"117086,7","106298,14","7676,13","9040,66","18083,72","4062,36","6314,72","18698,81","4193,8","4327,8","10441,84","6444,88","14235,08","2721,08","10793,42",
2008-07-31,"122254,74","111443,58","8243,38","11125,01","18361,08","4074,74","6926,04","19063,11","4453,29","4507,34","10670,27","6726,65","14462,38","2775,79","10859,83",
2008-08-31,"122254,74","111443,58","8243,38","11125,01","18361,08","4074,74","6926,04","19063,11","4453,29","4507,34","10670,27","6726,65","14462,38","2775,79","10859,83",
2008-09-30,"122254,74","111443,58","8243,38","11125,01","18361,08","4074,74","6926,04","19063,11","4453,29","4507,34","10670,27","6726,65","14462,38","2775,79","10859,83",
2008-10-31,"121882,42","110570,96","8069,06","9594,32","18501,56","4144,09","6191,42","19468,4","4353,0","4867,09","10891,99","6932,4","14833,84","2818,24","11334,57",
2008-11-30,"121882,42","110570,96","8069,06","9594,32","18501,56","4144,09","6191,42","19468,4","4353,0","4867,09","10891,99","6932,4","14833,84","2818,24","11334,57",
2008-12-31,"121882,42","110570,96","8069,06","9594,32","18501,56","4144,09","6191,42","19468,4","4353,0","4867,09","10891,99","6932,4","14833,84","2818,24","11334,57",
