Nro Factura,valor_capital,fecha_abono,fecha_factura,demora_pago,habito_pago
71902,1314744,28/12/2018,30/04/2012,2433,0.0
72174,1314744,28/12/2018,23/05/2012,2410,0.0
72626,814552,25/04/2019,20/06/2012,2500,0.0
73033,1314744,25/04/2019,23/07/2012,2467,0.0
73743,1314744,25/04/2019,29/08/2012,2430,0.0
74045,1314744,25/04/2019,24/09/2012,2404,0.0
74498,1314744,25/04/2019,23/10/2012,2375,0.0
75058,1314744,25/04/2019,23/11/2012,2344,0.0
75293,1314744,25/04/2019,12/12/2012,2325,0.0
75798,1367640,25/04/2019,22/01/2013,2284,0.0
76609,1367640,25/04/2019,28/02/2013,2247,0.0
76757,1367640,25/04/2019,15/03/2013,2232,0.0
77215,1367640,25/04/2019,15/04/2013,2201,0.0
86879,3644256,20/02/2018,30/11/2014,1178,0.0
87370,2143680,20/02/2018,19/12/2014,1159,0.0
87778,2242338,20/02/2018,21/01/2015,1126,0.0
88215,242338,20/02/2018,13/02/2015,1103,0.0
88391,2242338,20/02/2018,18/02/2015,1098,0.0
88657,1121169,20/02/2018,16/03/2015,1072,0.0
89427,1121169,20/02/2018,16/04/2015,1041,0.0
90266,1121169,20/02/2018,20/05/2015,1007,0.0
90694,1121169,20/02/2018,18/06/2015,978,0.0
94355,675294,28/03/2018,16/12/2015,833,0.0
94863,799768,28/03/2018,19/01/2016,799,0.0
95134,10476924,20/03/2018,20/01/2016,790,0.0
95602,799768,28/03/2018,16/02/2016,771,0.0
95650,299303,28/12/2018,17/02/2016,1045,0.0
95705,799768,20/03/2018,17/02/2016,762,0.0
95949,799768,28/03/2018,11/03/2016,747,0.0
96234,2399303,28/12/2018,17/03/2016,1016,0.0
96410,3199071,28/12/2018,22/03/2016,1011,0.0
96424,799768,20/03/2018,28/03/2016,722,0.0
96469,2399303,28/12/2018,31/03/2016,1002,0.0
96484,799768,28/12/2018,31/03/2016,1002,0.0
96646,2399303,28/12/2018,19/04/2016,983,0.0
96667,799768,28/03/2018,19/04/2016,708,0.0
96798,799768,20/03/2018,19/04/2016,700,0.0
97085,2399303,28/12/2018,27/04/2016,975,0.0
97273,799768,28/03/2018,17/05/2016,680,0.0
97341,799768,20/03/2018,17/05/2016,672,0.0
97429,2399303,28/12/2018,17/05/2016,955,0.0
97646,1599536,30/01/2018,24/05/2016,616,0.0
97656,1599536,28/12/2018,24/05/2016,948,0.0
97671,2399303,28/12/2018,24/05/2016,948,0.0
97960,3998839,11/04/2019,20/06/2016,1025,0.0
98046,5376838,28/12/2018,20/06/2016,921,0.0
98058,799768,28/03/2018,20/06/2016,646,0.0
98089,2399303,28/12/2018,20/06/2016,921,0.0
98120,799768,20/03/2018,21/06/2016,637,0.0
98152,1599536,30/01/2018,21/06/2016,588,0.0
98153,3199071,28/12/2018,21/06/2016,920,0.0
98180,2399303,28/12/2018,21/06/2016,920,0.0
98299,3998843,28/12/2018,22/06/2016,919,0.0
98323,4798607,21/08/2018,27/06/2016,785,0.0
98441,1972000,28/12/2018,30/06/2016,911,0.0
98462,1599536,28/12/2018,11/07/2016,900,0.0
98498,1093016,28/12/2018,12/07/2016,899,0.0
98654,799768,28/03/2018,15/07/2016,621,0.0
98679,1792537,30/12/2019,18/07/2016,1260,0.0
98692,5377723,28/12/2018,18/07/2016,893,0.0
98697,3998843,28/12/2018,18/07/2016,893,0.0
98712,799768,20/03/2018,18/07/2016,610,0.0
98896,2399303,28/12/2018,19/07/2016,892,0.0
98936,3998839,11/04/2019,19/07/2016,996,0.0
98941,4798607,31/08/2018,19/07/2016,773,0.0
98957,487280,10/10/2018,25/07/2016,807,0.0
99004,2399303,28/12/2018,26/07/2016,885,0.0
99144,1599536,28/12/2018,11/08/2016,869,0.0
99358,5377723,28/12/2018,17/08/2016,863,0.0
99363,3998843,28/12/2018,17/08/2016,863,0.0
99406,1792537,30/12/2019,17/08/2016,1230,0.0
99450,2399303,28/12/2018,18/08/2016,862,0.0
99475,4798607,31/08/2018,18/08/2016,743,0.0
99539,3998839,11/04/2019,19/08/2016,965,0.0
99668,69055813,28/03/2018,23/08/2016,582,0.0
99675,799768,10/10/2018,23/08/2016,778,0.0
99702,799768,28/12/2018,24/08/2016,856,0.0
99845,1019269,28/12/2018,13/09/2016,836,0.0
99872,1599536,28/12/2018,13/09/2016,836,0.0
99873,3199071,28/12/2018,13/09/2016,836,0.0
99928,799768,28/12/2018,14/09/2016,835,0.0
100033,1599536,28/12/2018,22/09/2016,827,0.0
100166,41987800,28/12/2018,22/09/2016,827,0.0
100169,5377723,28/12/2018,22/09/2016,827,0.0
100172,3998830,28/12/2018,22/09/2016,827,0.0
100173,3998843,28/12/2018,22/09/2016,827,0.0
100192,138111626,28/12/2018,22/09/2016,827,0.0
100200,7001800,28/12/2018,22/09/2016,827,0.0
100208,799768,10/10/2018,22/09/2016,748,0.0
100236,1399590,31/01/2020,22/09/2016,1226,0.0
100239,1792537,30/12/2019,22/09/2016,1194,0.0
100259,2399303,28/12/2018,22/09/2016,827,0.0
100375,3998839,11/04/2019,30/09/2016,923,0.0
