Serie,Auxilio de transporte mensual,Salario mínimo mensual,"Salario mínimo mensual, sector rural","Salario mínimo mensual, sector urbano alto"
1950-01-31,.,.,60,60
1950-02-28,.,.,60,60
1950-03-31,.,.,60,60
1950-04-30,.,.,60,60
1950-05-31,.,.,60,60
1950-06-30,.,.,60,60
1950-07-31,.,.,60,60
1950-08-31,.,.,60,60
1950-09-30,.,.,60,60
1950-10-31,.,.,60,60
1950-11-30,.,.,60,60
1950-12-31,.,.,60,60
1951-01-31,.,.,60,60
1951-02-28,.,.,60,60
1951-03-31,.,.,60,60
1951-04-30,.,.,60,60
1951-05-31,.,.,60,60
1951-06-30,.,.,60,60
1951-07-31,.,.,60,60
1951-08-31,.,.,60,60
1951-09-30,.,.,60,60
1951-10-31,.,.,60,60
1951-11-30,.,.,60,60
1951-12-31,.,.,60,60
1952-01-31,.,.,60,60
1952-02-29,.,.,60,60
1952-03-31,.,.,60,60
1952-04-30,.,.,60,60
1952-05-31,.,.,60,60
1952-06-30,.,.,60,60
1952-07-31,.,.,60,60
1952-08-31,.,.,60,60
1952-09-30,.,.,60,60
1952-10-31,.,.,60,60
1952-11-30,.,.,60,60
1952-12-31,.,.,60,60
1953-01-31,.,.,60,60
1953-02-28,.,.,60,60
1953-03-31,.,.,60,60
1953-04-30,.,.,60,60
1953-05-31,.,.,60,60
1953-06-30,.,.,60,60
1953-07-31,.,.,60,60
1953-08-31,.,.,60,60
1953-09-30,.,.,60,60
1953-10-31,.,.,60,60
1953-11-30,.,.,60,60
1953-12-31,.,.,60,60
1954-01-31,.,.,60,60
1954-02-28,.,.,60,60
1954-03-31,.,.,60,60
1954-04-30,.,.,60,60
1954-05-31,.,.,60,60
1954-06-30,.,.,60,60
1954-07-31,.,.,60,60
1954-08-31,.,.,60,60
1954-09-30,.,.,60,60
1954-10-31,.,.,60,60
1954-11-30,.,.,60,60
1954-12-31,.,.,60,60
1955-01-31,.,.,60,60
1955-02-28,.,.,60,60
1955-03-31,.,.,60,60
1955-04-30,.,.,60,60
