Fecha;Créditos de consumo;Créditos de tesorería;Créditos ordinarios;"Créditos preferenciales";"Tasas de Colocación Banco de la República";"Tasas de Colocación sin tesoreria";"Tasas de Colocación total"
31/03/1998;42,24;37,22;36,46;35,2;37,14;37,12;37,18
30/04/1998;44,08;41,61;38,82;39,64;40,6;40,31;41,08
31/05/1998;45,32;37,79;40,29;36,33;39,68;40,09;38,9
30/06/1998;48,41;56,41;47,08;49,56;50,49;48,34;53,54
31/07/1998;51,57;42,69;48,1;45,52;46,4;47,92;44,41
31/08/1998;50,49;37,14;43,7;39,85;42,08;43,85;39,54
30/09/1998;51,14;49,9;46,38;48,5;48,5;47,98;49,23
31/10/1998;52,01;47,26;49,49;46,18;48,24;48,67;47,7
30/11/1998;52,31;43,42;47,61;46,22;46,84;47,93;45,16
31/12/1998;51,64;39,95;46,1;41,87;44,98;46,07;42,89
31/01/1999;51,36;36,54;43,21;39,45;41,72;43,09;39,36
28/02/1999;49,57;31,99;41,62;33,34;38,02;39,63;35,26
31/03/1999;47,22;30,91;34,69;32,49;35,09;36,13;33,23
30/04/1999;44,5;27,83;32,56;28,45;32,33;33,41;30,36
31/05/1999;41,03;24,39;29,35;25,58;28,86;29,91;26,94
30/06/1999;38,27;24,14;25,8;24,54;26,77;27,26;25,76
31/07/1999;35,59;25,21;26,98;26,96;27,71;28,32;26,61
31/08/1999;36,97;23,23;27,55;24,47;26,69;27,77;25
30/09/1999;36,86;23,09;27,41;23,34;26,15;27,05;24,69
31/10/1999;36,58;21,75;27,3;21,83;24,69;25,8;23,15
30/11/1999;35,15;19,53;26,27;20,12;23,37;24,75;21,4
31/12/1999;32,81;17,63;23,83;19,23;21,92;22,92;20,06
31/01/2000;30,58;13,81;20,83;13,9;18,01;19,19;16,04
29/02/2000;25,01;13,82;18,31;13,2;16,77;17,62;15,37
31/03/2000;25,15;13,95;18,15;14,34;17,09;17,77;15,77
30/04/2000;25,24;13,34;18,23;14,21;16,95;17,84;15,36
31/05/2000;25,65;13,09;19,38;14,47;17,26;18,68;15,16
30/06/2000;26,92;13,25;19,98;17,56;19,05;20,3;16,63
31/07/2000;27,76;14,38;20,01;17,46;19,38;20,97;16,92
31/08/2000;28,67;14,27;20,21;17,37;19,16;21,03;16,58
30/09/2000;30,9;14,72;20,26;18,7;20,14;21,96;17,42
31/10/2000;32,46;14,29;20,27;17,77;20,19;22,05;17,29
30/11/2000;33,39;14,83;21,45;17,51;20,65;22;18,15
